id,region,station_name,normalized_name
188,Kralovehradecky,"Ústí nad Labem, Mánesovy sady, okres: Ústí nad Labem","UstinadLabem,Manesovysady,okres:UstinadLabem"
189,Kralovehradecky,"Ústí nad Labem, Vaňov, okres: Ústí nad Labem","UstinadLabem,Vanov,okres:UstinadLabem"
190,Liberecky,"Česká Lípa, okres: Česká Lípa","CeskaLipa,okres:CeskaLipa"
191,Liberecky,"Doksy, okres: Česká Lípa","Doksy,okres:CeskaLipa"
192,Liberecky,"Hradčany, okres: Česká Lípa","Hradcany,okres:CeskaLipa"
193,Liberecky,"Stráž pod Ralskem, okres: Česká Lípa","StrazpodRalskem,okres:CeskaLipa"
194,Liberecky,"Bedřichov, okres: Jablonec nad Nisou","Bedrichov,okres:JablonecnadNisou"
195,Liberecky,"Bedřichov, Nová louka, okres: Jablonec nad Nisou","Bedrichov,Novalouka,okres:JablonecnadNisou"
196,Liberecky,"Desná, Souš, okres: Jablonec nad Nisou","Desna,Sous,okres:JablonecnadNisou"
197,Liberecky,"Jablonec nad Nisou, okres: Jablonec nad Nisou","JablonecnadNisou,okres:JablonecnadNisou"
198,Liberecky,"Kořenov, Jizerka, okres: Jablonec nad Nisou","Korenov,Jizerka,okres:JablonecnadNisou"
199,Liberecky,"Smržovka, okres: Jablonec nad Nisou","Smrzovka,okres:JablonecnadNisou"
200,Liberecky,"Český Dub, okres: Liberec","CeskyDub,okres:Liberec"
201,Liberecky,"Český Dub, Modlibohov, okres: Liberec","CeskyDub,Modlibohov,okres:Liberec"
202,Liberecky,"Frýdlant, okres: Liberec","Frydlant,okres:Liberec"
203,Liberecky,"Hejnice, okres: Liberec","Hejnice,okres:Liberec"
204,Liberecky,"Jablonné v Podještědí, okres: Liberec","JablonnevPodjestedi,okres:Liberec"
205,Liberecky,"Ještěd, okres: Liberec","Jested,okres:Liberec"
206,Liberecky,"Liberec, okres: Liberec","Liberec,okres:Liberec"
207,Liberecky,"Nové Město pod Smrkem, okres: Liberec","NoveMestopodSmrkem,okres:Liberec"
208,Liberecky,"Pertoltice, okres: Liberec","Pertoltice,okres:Liberec"
209,Liberecky,"Višňová, Andělka, okres: Liberec","Visnova,Andelka,okres:Liberec"
210,Liberecky,"Benecko, okres: Semily","Benecko,okres:Semily"
211,Liberecky,"Dvoračky, okres: Semily","Dvoracky,okres:Semily"
212,Liberecky,"Harrachov, okres: Semily","Harrachov,okres:Semily"
213,Liberecky,"Holenice, okres: Semily","Holenice,okres:Semily"
214,Liberecky,"Karlovice, okres: Semily","Karlovice,okres:Semily"
215,Liberecky,"Turnov, okres: Semily","Turnov,okres:Semily"
216,Liberecky,"Vítkovice, Horní Mísečky, okres: Semily","Vitkovice,HorniMisecky,okres:Semily"
217,Liberecky,"Vrbatová bouda, Vítkovice, okres: Semily","Vrbatovabouda,Vitkovice,okres:Semily"
218,Liberecky,"Vysoké nad Jizerou, okres: Semily","VysokenadJizerou,okres:Semily"
219,Moravskoslezsky,"Dobřenice, okres: Hradec Králové","Dobrenice,okres:HradecKralove"
220,Moravskoslezsky,"Hradec Králové, Nový Hradec Králové, okres: Hradec Králové","HradecKralove,NovyHradecKralove,okres:HradecKralove"
221,Moravskoslezsky,"Hradec Králové, Svobodné Dvory, okres: Hradec Králové","HradecKralove,SvobodneDvory,okres:HradecKralove"
222,Moravskoslezsky,"Nový Bydžov, okres: Hradec Králové","NovyBydzov,okres:HradecKralove"
223,Moravskoslezsky,"Holovousy, okres: Jičín","Holovousy,okres:Jicin"
224,Moravskoslezsky,"Jičín, okres: Jičín","Jicin,okres:Jicin"
225,Moravskoslezsky,"Jičín, Soudná, okres: Jičín","Jicin,Soudna,okres:Jicin"
226,Moravskoslezsky,"Lázně Bělohrad, okres: Jičín","LazneBelohrad,okres:Jicin"
227,Moravskoslezsky,"Slatiny, Milíčeves, okres: Jičín","Slatiny,Miliceves,okres:Jicin"
228,Moravskoslezsky,"Broumov, okres: Náchod","Broumov,okres:Nachod"
229,Moravskoslezsky,"Červený Kostelec, okres: Náchod","CervenyKostelec,okres:Nachod"
230,Moravskoslezsky,"Česká Skalice, Rozkoš, okres: Náchod","CeskaSkalice,Rozkos,okres:Nachod"
231,Moravskoslezsky,"Jaroměř, okres: Náchod","Jaromer,okres:Nachod"
232,Moravskoslezsky,"Teplice nad Metují Zdoňov, okres: Náchod","TeplicenadMetujiZdonov,okres:Nachod"
233,Moravskoslezsky,"Velichovky, okres: Náchod","Velichovky,okres:Nachod"
234,Moravskoslezsky,"Borohrádek, okres: Rychnov nad Kněžnou","Borohradek,okres:RychnovnadKneznou"
235,Moravskoslezsky,"Deštné v Orlic. horách, okres: Rychnov nad Kněžnou","DestnevOrlic.horach,okres:RychnovnadKneznou"
236,Moravskoslezsky,"Doudleby nad Orlicí, okres: Rychnov nad Kněžnou","DoudlebynadOrlici,okres:RychnovnadKneznou"
